λ,Lq,s,μ,ρ,Wq
10.52120018,4.269800186,5,12.5817,0.1672,0.0002
14.56610012,4.74119997,6,17.1721,0.1414,0.0001
15.85029984,4.887300014,8,18.6122,0.1065,0
5.834400177,19.3314991,4,6.122,0.2383,0.0024
16.02079964,17.49850082,5,16.8893,0.1897,0.0002
13.16650009,4.522099972,5,15.6207,0.1686,0.0002
1.195000052,9.419199944,1,1.3107,0.9117,7.8822
7.400300026,18.6541996,4,7.7778,0.2379,0.0019
15.28859997,18.21890068,5,16.0862,0.1901,0.0003
6.14989996,12.35379982,10,6.6129,0.093,0
10.20419979,12.03369999,4,10.9914,0.2321,0.0013
15.91520023,11.3451004,3,17.2123,0.3082,0.0033
8.816300392,14.87839985,5,9.3736,0.1881,0.0004
16.94129944,4.261799812,3,20.2646,0.2787,0.0022
6.70539999,16.95929909,10,7.0799,0.0947,0
9.827899933,15.46080017,2,10.427,0.4713,0.0305
11.64249992,9.986700058,6,12.7104,0.1527,0.0001
9.88809967,2.833899975,4,12.6216,0.1959,0.0007
11.82330036,7.487100124,4,13.2341,0.2233,0.001
8.258899689,0.620599985,9,15.3972,0.0596,0
5.852700233,10.11600018,6,6.3832,0.1528,0.0002
13.75930023,7.220499992,10,15.4557,0.089,0
18.47920036,15.97039986,1,19.5717,0.9442,0.8642
4.500699997,18.00600052,4,4.7381,0.2375,0.0031
7.079199791,15.90120029,3,7.4995,0.3147,0.0078
17.24570084,3.134500027,1,21.632,0.7972,0.1818
19.8913002,13.82540035,9,21.2388,0.1041,0
13.51780033,10.36120033,10,14.7162,0.0919,0
17.00110054,12.0394001,2,18.3121,0.4642,0.0168
16.46030045,12.85130024,8,17.6545,0.1165,0
19.07489967,1.530599952,10,27.667,0.0689,0
5.446199894,1.992799997,5,7.4453,0.1463,0.0003
13.84459972,17.29050064,2,14.6037,0.474,0.0221
5.4375,5.208799839,9,6.3337,0.0954,0
19.34189987,18.62700081,5,20.3298,0.1903,0.0002
10.09420013,8.770000458,3,11.1374,0.3021,0.0048
18.88260078,14.47669983,5,20.1075,0.1878,0.0002
4.63409996,5.60739994,2,5.3499,0.4331,0.049
14.80119991,13.71800041,9,15.8112,0.104,0
12.44169998,8.124400139,8,13.8203,0.1125,0
10.93490028,0.482800007,5,22.1275,0.0988,0
13.4282999,6.009900093,9,15.3792,0.097,0
18.85849953,14.46969986,2,20.0824,0.4695,0.0157
19.1406002,9.050200462,7,21.0625,0.1298,0
11.86830044,16.2560997,8,12.5583,0.1181,0
19.62050056,14.94180012,9,20.8558,0.1045,0
16.71660042,17.61070061,6,17.6173,0.1581,0.0001
11.0145998,2.104000092,3,14.8877,0.2466,0.0023
1.096300006,16.80620003,1,1.1581,0.9467,15.3299
8.932900429,7.491000175,9,9.9983,0.0993,0
12.87489986,18.93190002,1,13.5224,0.9521,1.4705
9.559200287,9.404800415,1,10.4858,0.9116,0.9838
1.079300046,1.205600023,10,1.661,0.065,0
12.50949955,15.30770016,5,13.2793,0.1884,0.0003
2.629800081,3.286799908,2,3.2727,0.4018,0.0681
10.44209957,14.63449955,6,11.1126,0.1566,0.0001
10.82470036,2.588900089,9,14.0468,0.0856,0
2.416300058,16.60510063,4,2.554,0.2365,0.0057
19.57449913,14.59150028,5,20.8348,0.1879,0.0002
12.0024004,13.03709984,7,12.8615,0.1333,0
15.38659954,18.15340042,4,16.192,0.2376,0.0009
15.14089966,6.158299923,4,17.2935,0.2189,0.0007
12.09930038,5.824500084,8,13.9066,0.1088,0
5.751599789,1.419199944,7,8.4954,0.0967,0
14.36620045,19.15889931,6,15.0805,0.1588,0.0001
9.09319973,5.305300236,3,10.568,0.2868,0.0045
4.890999794,9.026800156,2,5.3833,0.4543,0.0542
4.872600079,8.149999619,10,5.411,0.0901,0
12.41139984,0.927600026,2,20.5087,0.3026,0.0062
7.104499817,11.94659996,1,7.6563,0.9279,1.6816
13.43369961,5.30189991,6,15.6137,0.1434,0.0001
15.72049999,3.161099911,3,19.6909,0.2661,0.0021
9.717100143,12.84430027,10,10.4224,0.0932,0
10.92840004,10.54489994,8,11.8816,0.115,0
15.50800037,14.81589985,5,16.4922,0.1881,0.0002
9.32199955,7.946800232,1,10.3759,0.8984,0.8525
11.5248003,8.356399536,3,12.7695,0.3008,0.0042
10.74020004,2.125699997,4,14.4862,0.1854,0.0006
17.69169998,6.797100067,9,19.9947,0.0983,0
6.876100063,5.563499928,2,7.9457,0.4327,0.0329
18.62330055,14.97340012,3,19.7935,0.3136,0.0029
13.63689995,14.27690029,9,14.5332,0.1043,0
7.859099865,9.536800385,6,8.6112,0.1521,0.0001
13.2531004,10.63049984,6,14.4005,0.1534,0.0001
17.84790039,4.267799854,9,21.3448,0.0929,0
15.13770008,11.14890003,6,16.3916,0.1539,0.0001
2.681699991,0.388300002,10,5.8484,0.0459,0
7.495699883,19.32939911,3,7.8653,0.3177,0.0076
10.58090019,1.874199986,3,14.6566,0.2406,0.0022
8.68350029,3.45449996,8,10.7197,0.1013,0
19.12779999,15.7677002,9,20.2724,0.1048,0
9.318200111,19.40430069,7,9.7759,0.1362,0
3.251600027,17.48999977,4,3.4279,0.2371,0.0043
14.13700008,18.46920013,4,14.865,0.2378,0.001
7.962500095,1.153599977,7,12.3961,0.0918,0
12.60669994,0.161899999,7,38.2624,0.0471,0
16.83609962,14.87489986,8,17.9006,0.1176,0
11.28299999,10.03069973,6,12.3137,0.1527,0.0001
15.24779987,1.086799979,10,24.1179,0.0632,0
13.91950035,2.471400023,9,18.2219,0.0849,0
1.357300043,1.851099968,1,1.8852,0.72,1.3638
6.327899933,8.539699554,2,6.9979,0.4521,0.0413
1.842599988,9.170999527,2,2.0254,0.4549,0.1446
2.986500025,8.764200211,6,3.2953,0.151,0.0003
16.38489914,0.303499997,10,39.0418,0.042,0
3.40019989,10.95880032,9,3.6864,0.1025,0
4.902699947,18.07220078,8,5.1604,0.1188,0
10.20960045,13.03470039,3,10.9405,0.3111,0.0052
12.53579998,16.17930031,1,13.2679,0.9448,1.2906
14.05020046,10.81359959,6,15.2475,0.1536,0.0001
14.38059998,9.518799782,1,15.7592,0.9125,0.6619
2.162400007,10.83950043,5,2.3463,0.1843,0.0016
11.97350025,9.488300323,5,13.1247,0.1825,0.0003
9.750100136,8.191800117,1,10.8224,0.9009,0.8402
1.525900006,4.30189991,10,1.8228,0.0837,0
5.090600014,9.297599792,2,5.5893,0.4554,0.0525
3.908400059,4.302700043,5,4.6688,0.1674,0.0006
7.393799782,19.7439003,6,7.751,0.159,0.0002
4.385099888,12.27499962,8,4.7172,0.1162,0
19.4116993,17.09070015,4,20.4878,0.2369,0.0007
11.09790039,18.75720024,4,11.661,0.2379,0.0013
2.797399998,8.682800293,5,3.0891,0.1811,0.0012
4.301300049,2.354099989,4,5.684,0.1892,0.0015
10.21500015,14.4630003,2,10.8782,0.4695,0.029
4.346199989,15.04930019,2,4.618,0.4706,0.0686
18.19849968,14.78390026,9,19.3559,0.1045,0
11.41460037,12.51780033,9,12.2634,0.1034,0
11.76169968,3.221100092,7,14.6861,0.1144,0
7.004199982,9.438599586,10,7.6809,0.0912,0
16.75699997,4.385099888,2,19.9644,0.4197,0.0123
17.16220093,19.80699921,1,17.9889,0.954,1.1541
3.984999895,16.73410034,5,4.2104,0.1893,0.001
9.470100403,2.24729991,4,12.6298,0.1875,0.0007
7.054200172,0.386700004,6,15.4066,0.0763,0
3.777899981,10.32530022,8,4.1139,0.1148,0
16.98990059,9.933799744,8,18.5559,0.1145,0
16.68860054,7.8604002,9,18.5941,0.0997,0
14.59370041,12.25160027,7,15.7009,0.1328,0
10.79240036,9.238599777,6,11.8558,0.1517,0.0001
7.553100109,9.314100266,3,8.2918,0.3036,0.0065
19.65130043,4.724899769,8,23.1776,0.106,0
15.30070019,6.005300045,5,17.5252,0.1746,0.0002
11.53339958,10.77560043,2,12.5194,0.4606,0.0241
1.62349999,2.931799889,1,2.0599,0.7881,1.8059
4.896999836,5.350800037,9,5.6853,0.0957,0
2.022399902,14.23560047,6,2.1557,0.1564,0.0006
17.62540054,8.227100372,6,19.5562,0.1502,0.0001
8.82159996,10.40600014,4,9.6006,0.2297,0.0014
2.010999918,6.310200214,9,2.2908,0.0975,0
13.02779961,6.092899799,4,14.8976,0.2186,0.0008
12.48980045,3.946799994,6,15.1062,0.1378,0.0001
12.9399004,12.91839981,4,13.8741,0.2332,0.001
17.12560081,18.23789978,7,18.0181,0.1358,0
8.507900238,17.2901001,4,8.9744,0.237,0.0016
17.84480095,19.35070038,4,18.7237,0.2383,0.0008
19.44280052,3.213099957,8,24.287,0.1001,0
4.420199871,15.83119965,6,4.6837,0.1573,0.0003
13.07549953,0.102600001,5,47.8791,0.0546,0
8.205599785,4.917099953,7,9.6279,0.1218,0
7.966499805,15.59669971,5,8.4482,0.1886,0.0005
8.620599747,7.849899769,9,9.6061,0.0997,0
11.26509953,13.36830044,4,12.0527,0.2337,0.0012
15.3842001,10.18729973,5,16.7696,0.1835,0.0002
17.81909943,15.93830013,8,18.8746,0.118,0
3.499900103,7.11619997,4,3.9371,0.2222,0.0032
14.03349972,12.48760033,4,15.0794,0.2327,0.0009
4.989500046,13.76469994,1,5.3289,0.9363,2.7587
5.480500221,11.66969967,3,5.9156,0.3088,0.0095
15.37790012,0.514900029,1,30.4572,0.5049,0.0335
11.25889969,19.42329979,2,11.8114,0.4766,0.0276
18.92720032,13.31519985,9,20.2555,0.1038,0
6.102700233,1.78489995,5,8.5446,0.1428,0.0002
18.62129974,18.9932003,7,19.5549,0.136,0
19.24160004,12.70090008,1,20.653,0.9317,0.6601
13.90009975,15.56750011,2,14.742,0.4714,0.0216
10.00940037,6.840600014,8,11.3049,0.1107,0
2.143699884,7.560900211,5,2.3972,0.1788,0.0015
14.20390034,17.4083004,9,14.9777,0.1054,0
3.907500029,6.3125,8,4.4509,0.1097,0
10.19620037,18.95590019,5,10.7084,0.1904,0.0004
16.90559959,15.29039955,1,17.9471,0.942,0.9045
17.78980064,15.19569969,6,18.8922,0.1569,0.0001
12.74580002,0.403800011,9,27.4188,0.0517,0
11.83049965,11.8125,1,12.7591,0.9272,0.9985
14.41409969,5.31619978,5,16.7477,0.1721,0.0002
11.56519985,14.27630043,7,12.3253,0.134,0
7.508500099,11.75730038,9,8.1005,0.103,0
3.751699924,10.65460014,3,4.0758,0.3068,0.0136
8.223600388,4.835800171,5,9.6698,0.1701,0.0003
3.51789999,19.42519951,8,3.6905,0.1192,0
3.085500002,3.351700068,2,3.8276,0.4031,0.0586
5.971099854,2.288599968,5,7.9345,0.1505,0.0003
7.435200214,15.10890007,3,7.8984,0.3138,0.0074
18.55750084,1.980399966,4,25.4029,0.1826,0.0003
14.66390038,17.22780037,7,15.4707,0.1354,0
3.171700001,5.083899975,4,3.7057,0.214,0.0031
7.196700096,1.457700014,6,10.561,0.1136,0
13.0156002,9.842399597,9,14.2255,0.1017,0
10.22749996,4.489200115,8,12.1459,0.1053,0
11.20849991,18.97200012,10,11.7711,0.0952,0
17.20299911,3.26699996,6,21.43,0.1338,0
17.14570045,17.47389984,3,18.0764,0.3162,0.0033
15.05720043,15.30200005,3,15.9841,0.314,0.0037
10.60840034,15.44709969,9,11.2557,0.1047,0
14.19579983,3.984100103,7,17.1459,0.1183,0
11.62300014,15.9005003,8,12.313,0.118,0
7.23059988,8.894599915,2,7.9683,0.4537,0.0365
13.07009983,7.56580019,10,14.615,0.0894,0
8.463700294,1.118700027,3,13.284,0.2124,0.0019
13.04459953,2.709800005,7,16.7856,0.111,0
3.122200012,3.558099985,10,3.8363,0.0814,0
13.96430016,19.94720078,5,14.6324,0.1909,0.0003
15.34210014,16.2432003,1,16.2347,0.945,1.0587
7.429699898,12.05249977,10,8.0021,0.0928,0
9.903300285,6.645999908,1,11.2187,0.8827,0.6711
1.833299994,18.7730999,4,1.9262,0.2379,0.0076
7.713300228,4.992199898,1,9.0327,0.8539,0.6472
16.71910095,4.641300201,3,19.7661,0.2819,0.0023
16.04220009,4.574200153,1,19.0029,0.8442,0.2851
5.891600132,1.787400007,3,8.2465,0.2381,0.0038
1.506600022,7.063099861,1,1.6961,0.8883,4.6881
13.27569962,17.75169945,7,13.9856,0.1356,0
19.80419922,12.82139969,10,21.2441,0.0932,0
10.52540016,8.296999931,1,11.6696,0.902,0.7883
8.197999954,16.21549988,3,8.6757,0.315,0.0068
5.383999825,15.2215004,5,5.7171,0.1883,0.0007
19.75110054,5.92840004,5,22.6556,0.1744,0.0001
2.79279995,9.170900345,9,3.0698,0.1011,0
6.310500145,10.27190018,7,6.8744,0.1311,0.0001
8.750699997,17.4510994,1,9.2263,0.9485,1.9943
5.241899967,7.499000072,3,5.8665,0.2978,0.0088
19.92379951,16.84070015,2,21.0439,0.4734,0.0153
7.913899899,1.116799951,9,12.4267,0.0708,0
18.00419998,11.40340042,9,19.4646,0.1028,0
3.932300091,0.198899999,8,10.9999,0.0447,0
6.820099831,15.30070019,5,7.24,0.1884,0.0006
11.12479973,4.697700024,8,13.1311,0.1059,0
16.19470024,0.603900015,4,30.4549,0.1329,0.0001
15.27499962,15.75689983,9,16.1896,0.1048,0
15.5557003,10.1072998,1,16.9668,0.9168,0.6497
9.606900215,11.02420044,7,10.411,0.1318,0
3.294500113,15.1402998,5,3.4994,0.1883,0.0012
1.019500017,4.963799953,2,1.1948,0.4267,0.2124
5.875999928,18.37989998,8,6.18,0.1189,0
2.070600033,14.16870022,7,2.2077,0.134,0.0002
5.697500229,1.663200021,10,8.1054,0.0703,0
8.712100029,7.67320013,7,9.7288,0.1279,0
6.698500156,18.79999924,8,7.0376,0.119,0
1.773300052,2.265799999,5,2.3611,0.1502,0.0009
9.71969986,13.38529968,9,10.3984,0.1039,0
10.19610023,2.801199913,2,13.0418,0.3909,0.0161
11.61260033,1.611700058,9,16.6407,0.0775,0
8.019100189,7.513000011,6,8.973,0.1489,0.0001
9.098899841,0.082099997,4,36.6291,0.0621,0
6.111800194,18.32620049,3,6.4289,0.3169,0.0093
7.379600048,18.62179947,8,7.7566,0.1189,0
15.65909958,16.1697998,7,16.5741,0.135,0
14.49470043,18.09140015,4,15.2559,0.2375,0.001
16.39599991,1.289199948,6,24.8031,0.1102,0
2.432499886,13.19929981,8,2.6046,0.1167,0.0001
5.591300011,18.55870056,6,5.8779,0.1585,0.0002
5.988800049,0.313699991,8,14.0984,0.0531,0
13.7826004,7.793799877,1,15.3685,0.8968,0.5655
17.37630081,10.27589989,10,18.9286,0.0918,0
11.26039982,19.06430054,7,11.8229,0.1361,0
18.58440018,6.211900234,8,21.2063,0.1095,0
9.302499771,13.00599957,1,9.9699,0.9331,1.3981
18.48789978,6.345699787,7,21.0471,0.1255,0
14.1583004,6.133900166,5,16.1783,0.175,0.0002
18.70689964,11.81120014,10,20.1754,0.0927,0
4.783299923,1.154299974,10,7.4455,0.0642,0
3.21600008,19.46529961,1,3.3735,0.9533,6.0526
10.32339954,2.277299881,4,13.7315,0.188,0.0006
8.703499794,19.6996994,1,9.1249,0.9538,2.2634
2.349400043,15.52970028,3,2.492,0.3143,0.0235
9.681200027,19.25399971,2,10.1603,0.4764,0.0321
19.84119987,14.06680012,4,21.1636,0.2344,0.0007
17.34329987,9.027799606,4,19.0887,0.2271,0.0007
13.92230034,8.485699654,10,15.4051,0.0904,0
12.17599964,16.8932991,9,12.8585,0.1052,0
1.343999982,2.137099981,6,1.8108,0.1237,0.0003
14.31700039,5.508200169,10,16.5637,0.0864,0
13.72019958,11.43840027,3,14.8299,0.3084,0.0038
6.664700031,15.1274004,4,7.0795,0.2354,0.002
13.51109982,11.18550014,10,14.6269,0.0924,0
14.73760033,11.41639996,8,15.9318,0.1156,0
4.758200169,4.86619997,3,5.5904,0.2837,0.0083
1.283599973,18.26300049,7,1.3504,0.1358,0.0003
15.56840038,19.97179985,1,16.3124,0.9544,1.2828
12.6395998,15.59029961,9,13.4041,0.1048,0
9.348400116,8.310199738,1,10.3632,0.9021,0.8889
6.840799809,2.169100046,3,9.1887,0.2482,0.0038
9.789099693,11.31809998,7,10.5887,0.1321,0
9.479700089,3.430299997,3,11.7158,0.2697,0.0035
2.599699974,10.37390041,7,2.8299,0.1312,0.0001
8.316200256,4.277400017,1,9.9424,0.8364,0.5143
12.99279976,2.109400034,7,17.5523,0.1057,0
4.636300087,6.899199963,3,5.2318,0.2954,0.0097
16.9178009,18.72330093,8,17.7777,0.119,0
12.36180019,13.58209991,5,13.2133,0.1871,0.0003
9.046199799,13.29279995,10,9.682,0.0934,0
4.909599781,14.52250004,4,5.2271,0.2348,0.0027
18.5053997,10.08689976,5,20.1872,0.1833,0.0002
18.80109978,0.639699996,5,34.7174,0.1083,0
15.36310005,19.87809944,4,16.1006,0.2385,0.0009
15.02180004,1.388100028,10,22.3088,0.0673,0
11.86190033,0.255699992,6,30.127,0.0656,0
11.13000011,7.569499969,5,12.445,0.1789,0.0003
16.40369987,0.937600017,9,27.0236,0.0674,0
9.116900444,19.14620018,9,9.5705,0.1058,0
11.28380013,14.08329964,4,12.035,0.2344,0.0012
4.015799999,18.05310059,8,4.2271,0.1188,0
11.17549992,9.606100082,10,12.2379,0.0913,0
16.26099968,6.010000229,1,18.6234,0.8731,0.3696
12.36429977,15.48569965,7,13.1169,0.1347,0
14.79780006,7.334499836,9,16.5967,0.0991,0
3.732500076,3.080699921,3,4.6956,0.265,0.0085
15.94169998,16.75460052,8,16.8423,0.1183,0
1.493499994,17.44129944,2,1.5747,0.4742,0.2048
15.98740005,12.22060013,2,17.2032,0.4647,0.0179
12.67599964,12.62139988,7,13.6113,0.133,0
4.568699837,12.71809959,6,4.9034,0.1553,0.0002
3.358500004,11.99129963,4,3.6185,0.232,0.0038
1.76760006,1.080299973,4,2.8004,0.1578,0.002
4.653800011,13.55029964,10,4.9751,0.0935,0
4.973599911,11.80070019,7,5.3644,0.1325,0.0001
14.44320011,0.239099994,2,37.6291,0.1919,0.0015
16.49340057,3.845299959,2,20.026,0.4118,0.0117
17.86079979,15.25220013,4,18.9637,0.2355,0.0008
18.90979958,18.4654007,6,19.8837,0.1585,0.0001
12.52830029,2.350600004,1,16.5604,0.7565,0.1876
12.19159985,2.009900093,7,16.6367,0.1047,0
19.5387001,11.17440033,3,21.1537,0.3079,0.0026
17.55260086,13.73770046,8,18.7488,0.117,0
4.191400051,7.554599762,10,4.6875,0.0894,0
10.06110001,18.63050079,5,10.5749,0.1903,0.0004
10.47599983,8.826600075,6,11.5523,0.1511,0.0001
7.999199867,5.205299854,6,9.3184,0.1431,0.0001
15.3071003,4.141900063,8,18.3842,0.1041,0
14.97229958,8.326399803,7,16.5947,0.1289,0
15.50819969,19.78109932,4,16.2561,0.2385,0.0009
4.768499851,17.01860046,5,5.0339,0.1895,0.0008
5.546700001,9.466099739,2,6.0812,0.4561,0.0484
5.96780014,7.279200077,9,6.6982,0.099,0
17.0177002,9.672699928,3,18.6252,0.3046,0.0029
1.301599979,19.89069939,1,1.364,0.9542,15.2817
10.87849998,19.94319916,6,11.3991,0.1591,0.0001
2.762000084,3.233099937,1,3.4466,0.8014,1.1706
2.433500051,8.198599815,9,2.7009,0.1001,0
17.46120071,1.096699953,10,27.5517,0.0634,0
1.067700028,1.051599979,9,1.7039,0.0696,0
18.24099922,5.494599819,5,21.1097,0.1728,0.0002
11.73180008,19.11870003,2,12.3163,0.4763,0.0265
14.03199959,14.47469997,4,14.9424,0.2348,0.001
3.176300049,17.33259964,4,3.3501,0.237,0.0044
10.9630003,14.93290043,4,11.6536,0.2352,0.0012
13.93560028,10.25510025,1,15.1829,0.9179,0.7359
16.22039986,10.42500019,4,17.6503,0.2297,0.0008
16.06299973,2.389400005,7,21.1651,0.1084,0
8.657899857,13.97970009,5,9.2383,0.1874,0.0004
11.61470032,3.492599964,8,14.3132,0.1014,0
9.155099869,5.910600185,1,10.505,0.8715,0.6456
19.88380051,8.888199806,1,21.9137,0.9074,0.447
3.727600098,16.6291008,10,3.9397,0.0946,0
12.38570023,4.778600216,1,14.5865,0.8491,0.3858
4.386099815,14.45670033,3,4.671,0.313,0.0124
4.591300011,18.55750084,3,4.8266,0.3171,0.0124
19.74580002,18.43770027,10,20.7642,0.0951,0
19.41220093,14.12269974,5,20.7012,0.1875,0.0002
11.38580036,16.15139961,1,12.0518,0.9447,1.4186
17.43479919,12.1882,1,18.7639,0.9292,0.6991
6.958199978,6.524700165,3,7.8978,0.2937,0.0064
2.904700041,15.59720039,8,3.0803,0.1179,0
9.048100471,7.644899845,5,10.1076,0.179,0.0003
1.460999966,19.63400078,5,1.532,0.1907,0.0027
3.782200098,9.571800232,2,4.1429,0.4565,0.0712
4.620600224,7.336999893,1,5.1821,0.8916,1.5879
12.18889999,12.15030003,5,13.1208,0.1858,0.0003
14.01290035,9.810799599,3,15.3194,0.3049,0.0036
13.30720043,7.822999954,3,14.8332,0.299,0.0035
14.36390018,11.53919983,4,15.5162,0.2314,0.0009
5.046199799,9.442700386,4,5.5335,0.228,0.0024
8.230799675,0.697099984,9,14.7981,0.0618,0
12.79440022,3.085000038,1,16.0919,0.7951,0.2411
17.48590088,4.463600159,6,20.782,0.1402,0
7.779399872,5.860300064,1,8.9352,0.8706,0.7533
13.55160046,9.333999634,10,14.8743,0.0911,0
1.176900029,8.726900101,10,1.2991,0.0906,0
4.384399891,6.432499886,1,4.984,0.8797,1.4671
9.970199585,4.303299904,6,11.9098,0.1395,0.0001
12.20919991,1.824900031,6,17.011,0.1196,0
8.559700012,19.68050003,9,8.9745,0.106,0
18.00419998,11.83069992,1,19.4154,0.9273,0.6571
18.12199974,14.23460007,9,19.3164,0.1042,0
5.734499931,3.335900068,9,7.1192,0.0895,0
10.71959972,2.439699888,7,14.0677,0.1089,0
11.33710003,19.10540009,9,11.9023,0.1058,0
8.159999847,1.679700017,6,11.5825,0.1174,0
5.454999924,8.095499992,1,6.0614,0.9,1.4841
14.60540009,5.061299801,1,17.0739,0.8554,0.3465
8.921600342,0.76639998,8,15.5853,0.0716,0
10.93159962,19.22640038,7,11.4733,0.1361,0
3.995199919,9.39470005,10,4.3828,0.0912,0
10.83769989,7.164500237,3,12.1833,0.2965,0.0042
2.343199968,13.38599968,4,2.5068,0.2337,0.0056
7.705500126,16.02510071,7,8.1596,0.1349,0
3.776599884,9.587100029,6,4.1363,0.1522,0.0003
2.208899975,9.930700302,8,2.4126,0.1144,0.0001
16.73430061,7.598899841,8,18.7045,0.1118,0
15.6729002,7.788799763,8,17.4774,0.1121,0
7.517399788,10.08860016,4,8.2005,0.2292,0.0016
13.18350029,6.104300022,7,15.0725,0.125,0
6.273900032,18.10230064,10,6.6032,0.095,0
2.446500063,6.792699814,9,2.7652,0.0983,0
8.732700348,1.377699971,1,12.9929,0.6721,0.1578
4.397600174,9.991800308,3,4.8008,0.3053,0.0114
15.6882,13.65620041,1,16.7633,0.9359,0.8705
9.56099987,11.87479973,1,10.3078,0.9275,1.242
1.234500051,12.99549961,5,1.3231,0.1866,0.003
15.15939999,7.46239996,10,16.9737,0.0893,0
18.75009918,7.082600117,2,21.1023,0.4443,0.0132
9.972900391,18.43549919,6,10.4873,0.1585,0.0001
7.631800175,3.545599937,2,9.3826,0.4067,0.0244
1.948799968,5.947599888,8,2.2346,0.109,0
3.779500008,5.26639986,8,4.3965,0.1075,0
12.56060028,8.437600136,4,13.9053,0.2258,0.0009
12.83030033,10.69379997,5,13.935,0.1841,0.0003
18.91760063,4.441699982,6,22.4988,0.1401,0
2.142999887,19.1548996,1,2.2496,0.9526,8.9384
14.62440014,0.406599998,10,31.3844,0.0466,0
11.5326004,1.16869998,3,17.8928,0.2148,0.0014
18.38979912,3.501399994,7,22.6534,0.116,0
2.754300117,13.7578001,4,2.9417,0.2341,0.0048
11.38650036,19.43040085,5,11.9451,0.1906,0.0003
17.73819923,0.761399984,3,31.048,0.1904,0.0006
12.36069965,15.24559975,1,13.1243,0.9418,1.2334
18.57369995,18.1473999,8,19.5463,0.1188,0
5.49090004,7.159200191,4,6.1731,0.2224,0.002
17.24360085,4.325300217,7,20.5834,0.1197,0
5.997900009,13.35610008,7,6.4176,0.1335,0.0001
1.108700037,15.45839977,7,1.1763,0.1346,0.0003
16.50359917,11.80620003,8,17.7997,0.1159,0
15.1420002,5.776500225,2,17.4205,0.4346,0.0152
7.140799999,3.076999903,3,8.9851,0.2649,0.0044
1.913300037,12.88819981,8,2.0517,0.1166,0.0001
14.41240025,18.14649963,9,15.1671,0.1056,0
7.323500156,8.093500137,2,8.1378,0.45,0.0351
16.80060005,11.21500015,4,18.1846,0.231,0.0008
11.08870029,11.69639969,7,11.9672,0.1324,0
5.12680006,17.51819992,7,5.4044,0.1355,0.0001
8.975099564,13.31729984,7,9.6049,0.1335,0
19.66040039,16.13920021,8,20.8112,0.1181,0
4.782899857,17.20540047,3,5.0464,0.3159,0.0117
1.978500009,17.82150078,8,2.0839,0.1187,0.0001
7.080800056,12.55140018,3,7.606,0.3103,0.0075
12.57520008,17.78120041,6,13.2466,0.1582,0.0001
11.69050026,8.799799919,10,12.8949,0.0907,0
16.22089958,13.51949978,10,17.3431,0.0935,0
7.921199799,15.96179962,10,8.3897,0.0944,0
14.07180023,7.635200024,7,15.7214,0.1279,0
8.553500175,9.927100182,3,9.3424,0.3052,0.0059
9.5291996,15.63739967,4,10.1039,0.2358,0.0014
8.574099541,2.777100086,6,10.9841,0.1301,0.0001
16.84889984,18.75779915,10,17.7038,0.0952,0
5.660200119,18.09690094,3,5.9574,0.3167,0.01
17.50060081,1.763200045,8,24.5702,0.089,0
6.413899899,11.28820038,4,6.9391,0.2311,0.002
16.2772007,15.76809978,9,17.2512,0.1048,0
18.34620094,14.88150024,9,19.5057,0.1045,0
7.154300213,6.047299862,9,8.188,0.0971,0
8.612000465,8.84869957,4,9.4948,0.2268,0.0014
19.89920044,4.847899914,5,23.3911,0.1701,0.0001
19.49379921,15.91569996,6,20.65,0.1573,0.0001
19.43099976,9.202500343,10,21.3525,0.091,0
3.636699915,1.874600053,4,5.0373,0.1805,0.0015
18.92919922,3.74119997,4,23.0791,0.205,0.0004
6.03219986,0.896700025,4,10.0642,0.1498,0.0005
7.693600178,8.504199982,9,8.5114,0.1004,0
8.753100395,5.844399929,7,10.0567,0.1243,0
16.7534008,11.75459957,5,18.0745,0.1854,0.0002
8.4375,3.584300041,10,10.3555,0.0815,0
18.22680092,7.790500164,9,20.3249,0.0996,0
3.523299932,15.29920006,8,3.7402,0.1177,0
19.43000031,19.75740051,10,20.3681,0.0954,0
5.232600212,1.800799966,8,7.312,0.0895,0
9.737000465,7.461500168,2,10.9025,0.4466,0.0258
15.30609989,13.84230042,6,16.3418,0.1561,0.0001
7.188899994,0.181199998,2,20.8609,0.1723,0.0023
8.487299919,7.430900097,10,9.507,0.0893,0
14.85280037,14.48019981,8,15.8161,0.1174,0
14.75720024,4.139999866,4,17.7249,0.2081,0.0006
19.93190002,17.02000046,6,21.0412,0.1579,0.0001
16.31839943,16.4218998,5,17.258,0.1891,0.0002
16.62439919,12.37209988,1,17.8741,0.9301,0.7442
1.329399943,17.92060089,4,1.3998,0.2374,0.0105
14.73289967,15.83059978,1,15.6112,0.9437,1.0745
3.389400005,18.78359985,7,3.5611,0.136,0.0001
15.02390003,11.22490025,2,16.2606,0.462,0.0187
12.77210045,5.975200176,4,14.6372,0.2181,0.0008
8.337400436,13.73209953,2,8.9058,0.4681,0.0351
6.410699844,8.588199615,7,7.086,0.1292,0
17.44549942,17.68919945,1,18.3815,0.9491,1.014
1.631700039,8.157299995,5,1.8118,0.1801,0.002
10.66279984,9.406100273,7,11.6962,0.1302,0
19.63969994,13.97060013,6,20.9571,0.1562,0.0001
10.20499992,4.977700233,1,11.955,0.8536,0.4878
15.75150013,3.3829,9,19.5106,0.0897,0
